model,prompt_method,accuracy,precision,recall,f1,auc
gpt-4o-mini,chain_of_thought_few_shot,0.78,1.0,0.5769230769230769,0.7317073170731707,0.7884615384615384
gpt-4o-mini,few_shot_learning,0.88,1.0,0.7692307692307693,0.8695652173913043,0.8846153846153846
gpt-4o-mini,role_prompting,0.82,1.0,0.6538461538461539,0.7906976744186046,0.8269230769230769
gpt-4o-mini,zero_shot_chain_of_thought,0.9595959595959596,1.0,0.9215686274509803,0.9591836734693877,0.9607843137254901
gpt-4o-mini,structured_reasoning,0.89,1.0,0.7884615384615384,0.8817204301075269,0.8942307692307692
gpt-3.5-turbo,chain_of_thought_few_shot,0.5353535353535354,1.0,0.11538461538461539,0.20689655172413793,0.5576923076923077
gpt-3.5-turbo,few_shot_learning,0.61,0.9333333333333333,0.2692307692307692,0.417910447761194,0.624198717948718
gpt-3.5-turbo,role_prompting,0.71,0.896551724137931,0.5,0.6419753086419753,0.71875
gpt-3.5-turbo,zero_shot_chain_of_thought,0.62,1.0,0.2692307692307692,0.42424242424242425,0.6346153846153846
gpt-3.5-turbo,structured_reasoning,0.77,0.7735849056603774,0.7884615384615384,0.780952380952381,0.7692307692307692
